Model,CV_Accuracy_Mean,CV_Accuracy_Std,Train_Accuracy,Train_Precision,Train_Recall,Train_F1,Train_AUC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_AUC
AdaBoost,0.9978698209944195,0.0013295230982629013,0.9900638750887154,0.9902308015952797,0.9900638750887154,0.990063029189285,0.9993265436983481,0.99,0.9901971830985915,0.99,0.9899995714206995,0.9990407850052246
CatBoost,0.9911265636219342,0.0031787778263025076,0.9953867991483322,0.9953930374722454,0.9953867991483322,0.9953867846251507,0.999795494945048,0.9971428571428571,0.9971428571428571,0.9971428571428571,0.9971428571428571,0.9995346786833856
ExtraTrees,0.9393132030787449,0.009247021174585802,0.9865152590489709,0.9865309434686486,0.9865152590489709,0.9865151503703535,0.9994837002923012,0.9885714285714285,0.9886345141662622,0.9885714285714285,0.9885706821182475,0.9996979493207941
GradientBoosting,0.9840305858937052,0.0048957493874022436,0.9943222143364088,0.9943232103127171,0.9943222143364088,0.9943222114764667,0.9998791103123437,0.9942857142857143,0.9942857142857143,0.9942857142857143,0.9942857142857143,0.9990530303030304
HistGradientBoosting,0.989352884118766,0.002972916302337434,0.9886444286728177,0.9888108716847938,0.9886444286728177,0.9886434619306115,0.9995239968548533,0.9871428571428571,0.9872433309969129,0.9871428571428571,0.987142725947254,0.9989305773249738
KNeighbors,0.8151178463902851,0.006744202269447455,0.8562810503903477,0.856289844209644,0.8562810503903477,0.8562801635798679,0.9352741501077177,0.8614285714285714,0.861491045397751,0.8614285714285714,0.8614158433770246,0.9342060148902821
LightGBM,0.9882871647581977,0.003662196677142763,0.9953867991483322,0.9953890449268412,0.9953867991483322,0.9953867939199973,0.9999314958436614,0.99,0.9900364900937968,0.99,0.9900000612246147,0.9996897857889238
LogisticRegression,0.8836022826045881,0.005400333151589027,0.8828956706884316,0.8829581698747125,0.8828956706884316,0.882890892605279,0.9596500445025162,0.8885714285714286,0.8886965527859032,0.8885714285714286,0.8885686996861782,0.9655825496342737
MLPClassifier,0.8914074801909729,0.011398237705469308,0.9666430092264017,0.9666467700785536,0.9666430092264017,0.9666429420176631,0.9932629184483205,0.9742857142857143,0.9743003634293926,0.9742857142857143,0.974285084501835,0.9962039576802507
RandomForest,0.9620321731353061,0.004687978594401451,0.988999290276792,0.9889995365892972,0.988999290276792,0.9889992888915081,0.9995758786791391,0.9928571428571429,0.992893010235325,0.9928571428571429,0.9928568367040786,0.9995101880877743
RidgeClassifier,0.8548562034692566,0.01414234375528511,0.8566359119943222,0.8566941248601354,0.8566359119943222,0.8566300624622204,0.0,0.8614285714285714,0.8614483422272766,0.8614285714285714,0.8614226320591243,0.0
SVC,0.8683420883564491,0.006570137812548995,0.9396735273243435,0.939823289773028,0.9396735273243435,0.9396683915063734,0.9839916868191455,0.9585714285714285,0.9588688535498037,0.9585714285714285,0.9585615330301968,0.9883261494252873
XGBoost,0.9893516244032098,0.005500514979496349,0.9414478353442157,0.9467151781563731,0.9414478353442157,0.9412747238313075,0.9893732927479787,0.9371428571428572,0.9434950020617384,0.9371428571428572,0.9368939455163231,0.9900037552246603
